OPEID,INSTName,State,StateNO,UGDs,SAT,PCTPELL,Salary,SalaryRate
00176700,Benedictine University,IL,12,3739,1030,0.3644,51000,0.69924813508987
00177500,University of Illinois at Urbana-Champaign,IL,12,31663,1303,0.2019,56600,0.77153062820434
00169600,Illinois Wesleyan University,IL,12,2000,1241,0.1878,54600,0.79035639762878
00168800,Illinois College,IL,12,981,1024,0.332,37700,0.66483515501022
00169100,Illinois Institute of Technology,IL,12,2855,1252,0.3167,68200,0.8177570104599
00169200,Illinois State University,IL,12,17667,1110,0.2557,45100,0.72902232408523
00170000,Judson University,IL,12,1020,1045,0.4371,37000,0.69603526592254
00170600,Lake Forest College,IL,12,1577,1157,0.3286,48100,0.66844922304153
00170700,Lewis University,IL,12,4489,1088,0.3145,47100,0.71092438697814
00170800,Lincoln Christian University,IL,12,613,996,0.5156,29300,0.4798534810543
00170900,Lincoln College,IL,12,1163,850,0.5998,29200,0.42743009328842
00171000,Loyola University Chicago,IL,12,9931,1195,0.299,50600,0.75713086128234
00171700,MacMurray College,IL,12,542,964,0.5824,36700,0.59485530853271
00172200,McKendree University,IL,12,2312,1046,0.379,42500,0.68717277050018
00172400,Millikin University,IL,12,2122,1087,0.3883,42900,0.68140703439712
00172500,Monmouth College,IL,12,1247,1049,0.4428,40700,0.67663550376892
00173400,North Central College,IL,12,2700,1125,0.2388,45700,0.71862071752548
00173500,North Park University,IL,12,2190,1030,0.3695,41400,0.64402174949646
00173700,Northern Illinois University,IL,12,15782,1010,0.4297,43900,0.68809747695922
00173900,Northwestern University,IL,12,8855,1458,0.1416,64100,0.83421206474304
00169300,Northeastern Illinois University,IL,12,8827,890,0.4823,36000,0.59090906381607
00174100,Olivet Nazarene University,IL,12,3325,1105,0.3164,37700,0.61770075559616
00174500,Quincy University,IL,12,1166,1048,0.4315,38500,0.62758618593215
00174800,Rockford University,IL,12,963,1029,0.5272,39100,0.67698258161544
00174900,Roosevelt University,IL,12,3596,1035,0.4208,44600,0.67295080423355
00175000,Dominican University,IL,12,2020,1031,0.4401,44400,0.64238411188125
00166400,University of St Francis,IL,12,1757,1070,0.3653,44600,0.78609627485275
00176800,Saint Xavier University,IL,12,2891,1010,0.4879,45300,0.71596032381057
00933300,University of Illinois at Springfield,IL,12,2959,1085,0.3677,41800,0.7087378501892
00175800,Southern Illinois University-Carbondale,IL,12,13220,1032,0.4326,41500,0.63572269678115
00175900,Southern Illinois University-Edwardsville,IL,12,11179,1050,0.3565,39800,0.67782282829284
00177100,Trinity Christian College,IL,12,1191,1053,0.341,41400,0.69455254077911
00177200,Trinity International University-Illinois,IL,12,899,1049,0.4805,38200,0.58011049032211
00178000,Western Illinois University,IL,12,9873,970,0.4278,41100,0.66535121202468
00178100,Wheaton College,IL,12,2415,1318,0.2097,42600,0.63834422826766
00178500,Anderson University,IN,13,1862,1053,0.3358,35900,0.61286407709121
00178600,Ball State University,IN,13,15985,1053,0.3463,39000,0.6431633234024
00178700,Bethel College-Indiana,IN,13,1579,1047,0.5169,36500,0.62045758962631
00178800,Butler University,IN,13,3998,1212,0.1739,52400,0.78952771425247
00183400,Calumet College of Saint Joseph,IN,13,988,855,0.4061,37200,0.66756755113601
00179200,DePauw University,IN,13,2272,1215,0.1879,47800,0.6812652349472
00179300,Earlham College,IN,13,1016,1262,0.2576,32300,0.43145161867141
00179500,University of Evansville,IN,13,2373,1147,0.2561,40000,0.66250002384185
00179800,Franklin College,IN,13,969,1010,0.4017,41000,0.65891474485397
00179900,Goshen College,IN,13,778,1123,0.2958,36300,0.61320751905441
00180000,Grace College and Theological Seminary,IN,13,1286,1050,0.3444,33200,0.51666665077209
00180100,Hanover College,IN,13,1159,1130,0.3482,44400,0.67073172330856
00726300,Holy Cross College,IN,13,490,1014,0.3333,36300,0.58108109235763
00180300,Huntington University,IN,13,1030,1054,0.346,35500,0.57272726297378
00182800,Indiana University-Purdue University-Fort Wayne,IN,13,9795,996,0.3675,35900,0.58321529626846
00181300,Indiana University-Purdue University-Indianapolis,IN,13,21569,1013,0.3659,39100,0.67871749401092
00180400,University of Indianapolis,IN,13,4108,1018,0.3729,41600,0.68355482816696
00180500,Indiana Institute of Technology,IN,13,5670,934,0.6241,41100,0.70069605112075
00180800,University of Southern Indiana,IN,13,8764,1004,0.3231,35500,0.58403068780899
00180700,Indiana State University,IN,13,10173,910,0.4344,36000,0.6087662577629
00181400,Indiana University-Kokomo,IN,13,2708,950,0.3195,33600,0.62889164686203
00181600,Indiana University-South Bend,IN,13,5538,962,0.3369,33800,0.56163561344146
00180900,Indiana University-Bloomington,IN,13,31984,1198,0.1937,45300,0.68907439708709
00181500,Indiana University-Northwest,IN,13,4764,918,0.3472,35900,0.57508534193038
00181700,Indiana University-Southeast,IN,13,5699,950,0.3439,34000,0.60598504543304
00181100,Indiana University-East,IN,13,3132,943,0.3606,29100,0.51709401607513
00182000,Manchester University,IN,13,1188,1017,0.358,38000,0.64974617958068
00182100,Marian University,IN,13,2054,1024,0.3106,40400,0.72164946794509
00182200,Indiana Wesleyan University,IN,13,10625,1083,0.3903,46000,0.78173446655273
00184000,University of Notre Dame,IN,13,8466,1450,0.1178,69400,0.87517434358596
00182400,Oakland City University,IN,13,587,988,0.1264,33700,0.56578946113586
00182700,Purdue University-Calumet Campus,IN,13,7466,975,0.3262,38100,0.55295372009277
